Matrice;Feature;TypePredominant;taux
Comparison_of_3D_computer_graphics_software  Features;Animation;BooleanValue;1.0
Comparison_of_401(k)_and_IRA_accounts  Comparison;Tax benefit;StringValue;1.0
Comparison_of_401(k)_and_IRA_accounts  Comparison;Loans;StringValue;0.5
Comparison_of_401(k)_and_IRA_accounts  Comparison;Tax Year 2015;Conditional;0.5
Comparison_of_401(k)_and_IRA_accounts  Comparison;Subjected taxes;StringValue;1.0
Comparison_of_401(k)_and_IRA_accounts  Comparison;Deduction Limits;StringValue;1.0
Comparison_of_401(k)_and_IRA_accounts  Comparison;Distributions;StringValue;0.9
Comparison_of_401(k)_and_IRA_accounts  Comparison;Matching Contributions;StringValue;1.0
Comparison_of_401(k)_and_IRA_accounts  Comparison;Forced Distributions;StringValue;1.0
Comparison_of_401(k)_and_IRA_accounts  Comparison;Changing Institutions;StringValue;1.0
Comparison_of_401(k)_and_IRA_accounts  Comparison;Home Down Payment;StringValue;1.0
Comparison_of_401(k)_and_IRA_accounts  Comparison;Beneficiaries;StringValue;1.0
Comparison_of_401(k)_and_IRA_accounts  Comparison;Early Withdrawal;StringValue;1.0
Comparison_of_401(k)_and_IRA_accounts  Comparison;Employer or Individual;StringValue;1.0
Comparison_of_401(k)_and_IRA_accounts  Comparison;Conversions and Rollovers;StringValue;0.8947368421052632
Comparison_of_401(k)_and_IRA_accounts  Comparison;Protection;Conditional;0.5
Comparison_of_401(k)_and_IRA_accounts  Comparison;Education Expenses;StringValue;1.0
Comparison_of_401(k)_and_IRA_accounts  Comparison;Medical Expenses;StringValue;1.0
Comparison_of_401(k)_and_IRA_accounts  Comparison;Contribution Limits;StringValue;0.95
Comparison_of_401(k)_and_IRA_accounts  Comparison;Contribution notes;StringValue;1.0
Comparison_of_802154_radio_modules   Transceiveronly modules ;Embit;StringValue;0.8666666666666667
Comparison_of_802154_radio_modules   Transceiveronly modules ;Microchip Technology;StringValue;1.0
Comparison_of_802154_radio_modules   Transceiveronly modules ;FlexiPanel Ltd;StringValue;1.0
Comparison_of_802154_radio_modules   Transceiveronly modules ;Manufacturer;StringValue;1.0
Comparison_of_802154_radio_modules   Integrated MCU and transceiver modules ;Interfacing;StringValue;1.0
Comparison_of_802154_radio_modules   Integrated MCU and transceiver modules ;SOCSIP Chip;StringValue;1.0
Comparison_of_802154_radio_modules   Integrated MCU and transceiver modules ;Module;StringValue;0.9879518072289156
Comparison_of_802154_radio_modules   Integrated MCU and transceiver modules ;Antenna;StringValue;1.0
Comparison_of_802154_radio_modules   Integrated MCU and transceiver modules ;Released;IntegerValue;0.5542168674698795
Comparison_of_802154_radio_modules   Integrated MCU and transceiver modules ;Manufacturer;StringValue;1.0
Comparison_of_802154_radio_modules   Integrated MCU and transceiver modules ;Firmware options;StringValue;0.9482758620689655
Comparison_of_802154_radio_modules   Integrated MCU and transceiver modules ;TX;StringValue;1.0
Comparison_of_802154_radio_modules   Integrated MCU and transceiver modules ;MCU core;StringValue;0.972972972972973
Comparison_of_802154_radio_modules   Integrated MCU and transceiver modules ;RX;StringValue;0.9722222222222222
Comparison_of_802154_radio_modules   Integrated MCU and transceiver modules ;TX Power;StringValue;1.0
Comparison_of_802154_radio_modules   Integrated MCU and transceiver modules ;RAM;StringValue;1.0
Comparison_of_802154_radio_modules   Integrated MCU and transceiver modules ;Sensitivity;StringValue;1.0
Comparison_of_802154_radio_modules   Integrated MCU and transceiver modules ;Sleep;StringValue;1.0
Comparison_of_802154_radio_modules   Integrated MCU and transceiver modules ;PCB Size;StringValue;1.0
Comparison_of_802154_radio_modules   Integrated MCU and transceiver modules ;Flash;StringValue;1.0
Comparison_of_accounting_software   Free and open source software ;RM;NA;1.0
Comparison_of_accounting_software   Free and open source software ;MultiCo;BooleanValue;1.0
Comparison_of_accounting_software   Free and open source software ;Package;StringValue;1.0
Comparison_of_accounting_software   Free and open source software ;PR;BooleanValue;1.0
Comparison_of_accounting_software   Free and open source software ;Language;StringValue;1.0
Comparison_of_accounting_software   Free and open source software ;ManfBOM;BooleanValue;1.0
Comparison_of_accounting_software   Free and open source software ;GL;BooleanValue;1.0
Comparison_of_accounting_software   Free and open source software ;IM;BooleanValue;1.0
Comparison_of_accounting_software   Free and open source software ;ERP;BooleanValue;1.0
Comparison_of_accounting_software   Free and open source software ;MU;BooleanValue;1.0
Comparison_of_accounting_software   Free and open source software ;Linux;BooleanValue;1.0
Comparison_of_accounting_software   Free and open source software ;POS;BooleanValue;1.0
Comparison_of_accounting_software   Free and open source software ;;BooleanValue;1.0
Comparison_of_accounting_software   Free and open source software ;DWM;BooleanValue;1.0
Comparison_of_accounting_software   Free and open source software ;EC;BooleanValue;1.0
Comparison_of_accounting_software   Free and open source software ;Other Features;StringValue;0.9473684210526315
Comparison_of_accounting_software   Free and open source software ;SCM;BooleanValue;1.0
Comparison_of_accounting_software   Free and open source software ;ARAP;BooleanValue;1.0
Comparison_of_accounting_software   Free and open source software ;Structure;StringValue;1.0
Comparison_of_accounting_software   Free and open source software ;HRM;BooleanValue;1.0
Comparison_of_accounting_software   Free and open source software ;CRM;BooleanValue;1.0
Comparison_of_accounting_software   Free and open source software ;SOCT;BooleanValue;1.0
Comparison_of_accounting_software   Free and open source software ;Windows;BooleanValue;1.0
Comparison_of_accounting_software   Free and open source software ;License;StringValue;1.0
Comparison_of_accounting_software   Free and open source software ;Mac OS;BooleanValue;1.0
Comparison_of_accounting_software   Free and open source software ;Market focus;StringValue;1.0
Comparison_of_accounting_software   Free and open source software ;DEB;BooleanValue;1.0
Comparison_of_accounting_software   Free and open source software ;BI;BooleanValue;1.0
Comparison_of_accounting_software   Free and open source software ;Tax;BooleanValue;0.75
Comparison_of_accounting_software   Free and open source software ;OB;BooleanValue;1.0
Comparison_of_accounting_software   Proprietary software ;OS X;BooleanValue;0.9857142857142858
Comparison_of_accounting_software   Proprietary software ;Structure;StringValue;1.0
Comparison_of_accounting_software   Proprietary software ;Windows;BooleanValue;0.9714285714285714
Comparison_of_accounting_software   Proprietary software ;Package;StringValue;1.0
Comparison_of_accounting_software   Proprietary software ;Market focus;StringValue;0.8795180722891566
Comparison_of_accounting_software   Proprietary software ;Type;StringValue;0.9979550102249489
Comparison_of_accounting_software   Proprietary software ;Linux;BooleanValue;0.9714285714285714
Comparison_of_accounting_software   Proprietary software ;License;StringValue;1.0
Comparison_of_accounting_software   Further details ;Package;StringValue;1.0
Comparison_of_accounting_software   Further details ;Database;StringValue;0.9473684210526315
Comparison_of_accounting_software   Further details ;Development Status;StringValue;1.0
Comparison_of_accounting_software   Further details ;Stable release date (YYYYMMDD);StringValue;1.0
Comparison_of_accounting_software   Further details ;Latest stable release;StringValue;0.7222222222222222
Comparison_of_accounting_software   Further details ;First public release date (YYYYMMDD);StringValue;0.6923076923076923
Comparison_of_accounting_software   Further details ;Supported languages;StringValue;0.9605263157894737
Comparison_of_accounting_software   Further details ;Programming Language;StringValue;1.0
Comparison_of_ADC_software   General ;FOSS;BooleanValue;0.9230769230769231
Comparison_of_ADC_software   General ;ADC hub;StringValue;1.0
Comparison_of_ADC_software   General ;Notes;StringValue;1.0
Comparison_of_ADC_software   General ;Active;BooleanValue;0.9166666666666666
Comparison_of_ADC_software   General ;Software license;StringValue;1.0
Comparison_of_ADC_software   Operating system support ;ADC hub;StringValue;1.0
Comparison_of_ADC_software   Operating system support ;Other;StringValue;0.8888888888888888
Comparison_of_ADC_software   Operating system support ;Linux;BooleanValue;0.9090909090909091
Comparison_of_ADC_software   Operating system support ;OS X;BooleanValue;0.9166666666666666
Comparison_of_ADC_software   Operating system support ;Windows;BooleanValue;0.9166666666666666
Comparison_of_ADC_software   Interface and programming ;Other software;StringValue;1.0
Comparison_of_ADC_software   Interface and programming ;GUI;BooleanValue;0.9
Comparison_of_ADC_software   Interface and programming ;Programming language;StringValue;0.9090909090909091
Comparison_of_ADC_software   Interface and programming ;Other;BooleanValue;0.9
Comparison_of_ADC_software   Interface and programming ;Based on;StringValue;1.0
Comparison_of_ADC_software   Interface and programming ;CLI;BooleanValue;0.9
Comparison_of_ADC_software   Features ;Plugin extendable;BooleanValue;0.6363636363636364
Comparison_of_ADC_software   Features ;Other software;StringValue;1.0
Comparison_of_ADC_software   Features ;IPv6;BooleanValue;0.8
Comparison_of_ADC_software   Features ;Hash algorithms;StringValue;1.0
Comparison_of_ADC_software   Features ;ADC support;StringValue;1.0
Comparison_of_ADC_software   Features ;Encryption;BooleanValue;0.8888888888888888
Comparison_of_ADC_software   Features ;Other;StringValue;1.0
Comparison_of_ADC_software   Interface and programming ;GUI;BooleanValue;0.8333333333333334
Comparison_of_ADC_software   Interface and programming ;CLI;BooleanValue;0.9090909090909091
Comparison_of_ADC_software   Interface and programming ;ADC hub;StringValue;1.0
Comparison_of_ADC_software   Interface and programming ;Based on;StringValue;1.0
Comparison_of_ADC_software   Interface and programming ;Other;BooleanValue;0.75
Comparison_of_ADC_software   Interface and programming ;Programming language;StringValue;1.0
Comparison_of_ADC_software   Features ;Plugin;StringValue;0.7692307692307693
Comparison_of_ADC_software   Features ;ADC support;StringValue;1.0
Comparison_of_ADC_software   Features ;ADC hub;StringValue;1.0
Comparison_of_ADC_software   Features ;Encryption;BooleanValue;0.8
Comparison_of_ADC_software   Features ;IPv6;BooleanValue;0.8888888888888888
Comparison_of_ADC_software   Features ;Bloom filter;BooleanValue;0.9166666666666666
Comparison_of_ADC_software   Features ;Other;StringValue;1.0
Comparison_of_ADC_software   Features ;Hash algorithms;StringValue;1.0
Comparison_of_ADC_software   General ;ADC client;StringValue;1.0
Comparison_of_ADC_software   General ;Active;BooleanValue;0.9285714285714286
Comparison_of_ADC_software   General ;Software license;StringValue;1.0
Comparison_of_ADC_software   General ;FOSS;BooleanValue;0.9285714285714286
Comparison_of_ADC_software   Operating system support ;Haiku;BooleanValue;0.9090909090909091
Comparison_of_ADC_software   Operating system support ;BSD;BooleanValue;0.9166666666666666
Comparison_of_ADC_software   Operating system support ;Linux;BooleanValue;0.9230769230769231
Comparison_of_ADC_software   Operating system support ;Windows;BooleanValue;0.9230769230769231
Comparison_of_ADC_software   Operating system support ;ADC client;StringValue;1.0
Comparison_of_ADC_software   Operating system support ;OS X;BooleanValue;0.9230769230769231
Comparison_of_ADC_software   Interface and programming ;Programming language;StringValue;1.0
Comparison_of_ADC_software   Interface and programming ;ADC client;StringValue;1.0
Comparison_of_ADC_software   Interface and programming ;WebUI;BooleanValue;0.9230769230769231
Comparison_of_ADC_software   Interface and programming ;GUI;BooleanValue;0.9230769230769231
Comparison_of_ADC_software   Interface and programming ;Based on;StringValue;1.0
Comparison_of_ADC_software   Interface and programming ;CLI;BooleanValue;0.9230769230769231
Comparison_of_ADC_software   Features ;Plugin;StringValue;0.6842105263157895
Comparison_of_ADC_software   Features ;Hash algorithms;StringValue;1.0
Comparison_of_ADC_software   Features ;DHT;BooleanValue;0.9230769230769231
Comparison_of_ADC_software   Features ;Magnet URI;BooleanValue;0.9230769230769231
Comparison_of_ADC_software   Features ;Other;StringValue;1.0
Comparison_of_ADC_software   Features ;NAT traversal;BooleanValue;0.9230769230769231
Comparison_of_ADC_software   Features ;ADC client;StringValue;1.0
Comparison_of_ADC_software   Features ;IPv6;BooleanValue;0.9230769230769231
Comparison_of_ADC_software   Features ;UPnP;BooleanValue;0.9230769230769231
Comparison_of_ADC_software   Features ;Encryption;BooleanValue;0.9230769230769231
Comparison_of_ADC_software   Features ;Proxy;BooleanValue;0.9230769230769231
Comparison_of_ADC_software   Features ;NMDC compatible;BooleanValue;0.9230769230769231
Comparison_of_ADC_software   Features ;Protocol support;StringValue;1.0
Comparison_of_ADC_software   General ;Software type;StringValue;1.0
Comparison_of_ADC_software   General ;FOSS;BooleanValue;0.9090909090909091
Comparison_of_ADC_software   General ;Other software;StringValue;1.0
Comparison_of_ADC_software   General ;Software license;StringValue;1.0
Comparison_of_ADC_software   General ;Active;BooleanValue;0.9
Comparison_of_ADC_software   Operating system support ;Linux;BooleanValue;0.9
Comparison_of_ADC_software   Operating system support ;Other software;StringValue;1.0
Comparison_of_ADC_software   Operating system support ;Windows;BooleanValue;0.9090909090909091
Comparison_of_ADC_software   Operating system support ;OS X;BooleanValue;0.9
Comparison_of_ADC_software   Operating system support ;Other;StringValue;0.5454545454545454
Comparison_of_Adobe_Flex_charts  Flex Chart products;BirdEye;NA;1.0
Comparison_of_Adobe_Flex_charts  Flex Chart products;Flare;NA;1.0
Comparison_of_Adobe_Flex_charts  Flex Chart products;Products;NA;1.0
Comparison_of_Adobe_Flex_charts  Flex Chart products;Flexmonster;NA;1.0
Comparison_of_Adobe_Flex_charts  Flex Chart products;Kap IT Labs;NA;1.0
Comparison_of_Adobe_Flex_charts  Flex Chart products;yFiles;NA;1.0
Comparison_of_Adobe_Flex_charts  Flex Chart products;Axiis;NA;1.0
Comparison_of_Adobe_Flex_charts  Flex Chart products;Adobe Flex builtin charts;NA;1.0
Comparison_of_Adobe_Flex_charts  Flex Chart products;amCharts;NA;1.0
Comparison_of_Adobe_Flex_charts  Flex Chart products;AnyChart;NA;1.0
Comparison_of_Adobe_Flex_charts  Flex Chart products;Chart type  Framework;NA;1.0
Comparison_of_Adobe_Flex_charts  Flex Chart products;IBM ILOG Elixir;NA;1.0
Comparison_of_Adobe_Flex_charts  Flex Chart products;LiveGap Chart;NA;1.0
Comparison_of_Adobe_Flex_charts  Flex Chart features;String formater for labels;BooleanValue;1.0
Comparison_of_Adobe_Flex_charts  Flex Chart features;Interactive legend;BooleanValue;0.7777777777777778
Comparison_of_Adobe_Flex_charts  Flex Chart features;Ability to define custom color for each bar (chart;BooleanValue;1.0
Comparison_of_Adobe_Flex_charts  Flex Chart features;Multiple axis;BooleanValue;1.0
Comparison_of_Adobe_Flex_charts  Flex Chart features;Feature  Framework;StringValue;1.0
Comparison_of_Adobe_Flex_charts  Flex Chart features;Combined charts;BooleanValue;1.0
Comparison_of_Adobe_Flex_charts  Flex Chart features;Rotate zoom chart in 3D;BooleanValue;1.0
Comparison_of_Adobe_Flex_charts  Flex Chart features;Showup  other animation effects;BooleanValue;0.7777777777777778
Comparison_of_Adobe_Flex_charts  Flex Chart features;Show total values over the bars;BooleanValue;1.0
Comparison_of_Adobe_Flex_charts  Flex Chart features;3D charts;BooleanValue;1.0
Comparison_of_ADO_and_ADONET;Data Passing;StringValue;1.0
Comparison_of_ADO_and_ADONET;Business Model;StringValue;1.0
Comparison_of_ADO_and_ADONET;XML Support;StringValue;1.0
Comparison_of_ADO_and_ADONET;Control of data access behaviors;StringValue;1.0
Comparison_of_ADO_and_ADONET;Designtime support;StringValue;1.0
Comparison_of_ADO_and_ADONET;Disconnected Access;StringValue;1.0
Comparison_of_ADO_and_ADONET;Connection Model;StringValue;1.0
Comparison_of_ad_servers   General information ;Mobile solution;BooleanValue;1.0
Comparison_of_ad_servers   General information ;Trial period;BooleanValue;0.95
Comparison_of_ad_servers   General information ;First release date;IntegerValue;0.8571428571428571
Comparison_of_ad_servers   General information ;Service and Support;StringValue;0.8974358974358975
Comparison_of_ad_servers   General information ;Realtime;BooleanValue;1.0
Comparison_of_ad_servers   General information ;Demo;Conditional;0.6363636363636364
Comparison_of_ad_servers   General information ;Pricing;StringValue;0.9655172413793104
Comparison_of_ad_servers   General information ;Ad Servering Platform;StringValue;0.9130434782608695
Comparison_of_ad_servers   General information ;Companyowner;StringValue;1.0
Comparison_of_ad_servers   General information ;Ad exchange;Conditional;0.5454545454545454
Comparison_of_ad_servers   General features ;Targeting databases;BooleanValue;1.0
Comparison_of_ad_servers   General features ;Ad Servering Platform;StringValue;0.9523809523809523
Comparison_of_ad_servers   General features ;Creative types supported;StringValue;0.9431818181818182
Comparison_of_ad_servers   General features ;Campaigns optimization;StringValue;1.0
Comparison_of_ad_servers   General features ;Video ad serving;BooleanValue;0.95
Comparison_of_ad_servers   General features ;Mobile ad serving;BooleanValue;1.0
Comparison_of_ad_servers   General features ;Reporting;StringValue;1.0
Comparison_of_ad_servers   Targeting ;Content Geography Cookie Technographic (Eg I;StringValue;0.9411764705882353
Comparison_of_ad_servers   Targeting ;AudienceLogy;StringValue;0.9444444444444444
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;Wat maak jy;Conditional;0.5
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;Is jy honger;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;Stem jy daartoe in;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;padda;Conditional;0.5
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;As dit ren sal dié sambreel jou beskerm;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;Ek het al geet;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;Hy het op die lughawe aangekom;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;'n Lemoen is 'n oranjekleurige vrug;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;Verstaan jy my;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;Ek is lief vir jou;Conditional;0.5
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;Oop vanaand;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;Wat is jou naam;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;Het jy dit ges;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;Ek kan dit nie glo nie;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;Ek verstaan dit;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;Hierdie vrug smaak sleg;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;Afrikaans;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;Hulle woon hier;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;Dié boek is vir jou;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;Ek is halfpad daar;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;piesang;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;baadjie jas;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;spinnekop;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;Ons hou daarvan om te braai;Conditional;0.5
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;Stem jy saam;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;Kan ons die middestad besoek;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;Ek het jou lief;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;'n Lemmetjie is 'n klein groen sitrusvrug;StringValue;1.0
Comparison_of_Afrikaans_and_Dutch  Comparisons of various words and phrases in Dutch and Afrikaans;hoender;StringValue;1.0
